ANO,MES,SENADOR,VALOR_REEMBOLSADO,UF,QUOTA,PERCENTAGE
2008,2,PAULO PAIM,12549.13,RS,40875.9,30.7
2008,2,RAIMUNDO COLOMBO,12584.119999999999,,40256.17,31.26
2008,2,RENAN CALHEIROS,14900.84,AL,40944.1,36.39
2008,2,RENATO CASAGRANDE,10300.9,ES,37423.91,27.52
2008,2,ROMERO JUCÁ,13456.220000000001,RR,45612.53,29.5
2008,2,ROMEU TUMA,7439.73,SP,37043.53,20.08
2008,2,ROSALBA CIARLINI,14978.4,,40256.17,37.21
2008,2,ROSEANA SARNEY,17960.36,MA,42151.69,42.61
2008,2,SERYS SLHESSARENKO,14109.24,MT,39428.03,35.78
2008,2,SIBÁ MACHADO,13544.54,AC,44632.46,30.35
2008,2,SÉRGIO GUERRA,15000.0,PE,41676.8,35.99
2008,2,SÉRGIO ZAMBIASI,12229.5,RS,40875.9,29.92
2008,2,TIÃO VIANA,9995.91,AC,44632.46,22.4
2008,2,VALDIR RAUPP,6870.0,RO,43672.49,15.73
2008,2,VALTER PEREIRA,10553.56,,40256.17,26.22
2008,2,WELLINGTON SALGADO DE OLIVEIRA,5388.81,MG,36092.71,14.93
2008,3,ADELMIR SANTANA,14916.6,,40256.17,37.05
2008,3,ALMEIDA LIMA,14970.95,,40256.17,37.19
2008,3,ALOIZIO MERCADANTE,15581.22,SP,37043.53,42.06
2008,3,ALVARO DIAS,14472.34,PR,38871.86,37.23
2008,3,ANTONIO CARLOS JUNIOR,2669.7,,40256.17,6.63
2008,3,ANTÔNIO CARLOS VALADARES,14527.689999999999,SE,40139.26,36.19
2008,3,AUGUSTO BOTELHO,13601.05,RR,45612.53,29.82
2008,3,CRISTOVAM BUARQUE,14931.269999999999,DF,30788.66,48.5
2008,3,CÉSAR BORGES,17084.760000000002,BA,39010.85,43.79
2008,3,CÍCERO LUCENA,10353.52,,40256.17,25.72
2008,3,DELCIDIO DO AMARAL,14546.970000000001,,40256.17,36.14
2008,3,DEMÓSTENES TORRES,15000.0,GO,35507.06,42.25
2008,3,EDUARDO AZEREDO,12200.42,MG,36092.71,33.8
2008,3,EDUARDO SUPLICY,3090.62,SP,37043.53,8.34
2008,3,EFRAIM MORAIS,14983.0,PB,42032.56,35.65
2008,3,ELISEU RESENDE,12797.720000000001,,40256.17,31.79
2008,3,EPITÁCIO CAFETEIRA,15000.0,MA,42151.69,35.59
2008,3,EXPEDITO JUNIOR,16000.0,,40256.17,39.75
2008,3,FERNANDO COLLOR,14418.04,,40256.17,35.82
2008,3,FLEXA RIBEIRO,13605.43,PA,42227.45,32.22
2008,3,FLÁVIO ARNS,11609.369999999999,PR,38871.86,29.87
2008,3,FRANCISCO DORNELLES,14947.810000000001,,40256.17,37.13
2008,3,FÁTIMA CLEIDE,6454.039999999999,RO,43672.49,14.78
2008,3,GARIBALDI ALVES FILHO,11187.02,RN,42731.99,26.18
2008,3,GERALDO MESQUITA JÚNIOR,7515.219999999999,AC,44632.46,16.84
2008,3,GERSON CAMATA,5151.15,ES,37423.91,13.76
2008,3,GILBERTO GOELLNER,14938.7,,40256.17,37.11
2008,3,GILVAM BORGES,15000.0,AP,43374.78,34.58
2008,3,GIM ARGELLO,13968.69,,40256.17,34.7
2008,3,HERÁCLITO FORTES,9313.029999999999,PI,40971.77,22.73
2008,3,IDELI SALVATTI,15070.16,SC,39877.78,37.79
2008,3,INÁCIO ARRUDA,15023.18,,40256.17,37.32
2008,3,JARBAS VASCONCELOS,16610.51,,40256.17,41.26
2008,3,JAYME CAMPOS,14974.6,,40256.17,37.2
2008,3,JOSÉ AGRIPINO,12292.08,,40256.17,30.53
2008,3,JOSÉ MARANHÃO,18000.0,,40256.17,44.71
2008,3,JOSÉ NERY,13455.060000000001,,40256.17,33.42
2008,3,JOSÉ SARNEY,9600.0,AP,43374.78,22.13
2008,3,JOÃO DURVAL,17025.82,,40256.17,42.29
2008,3,JOÃO PEDRO,8621.16,,40256.17,21.42
2008,3,JOÃO RIBEIRO,32632.75,TO,39503.61,82.61
2008,3,JOÃO TENÓRIO,9900.0,,40256.17,24.59
2008,3,JOÃO VICENTE CLAUDINO,14997.78,,40256.17,37.26
2008,3,KÁTIA ABREU,20863.52,TO,39503.61,52.81
2008,3,LEOMAR QUINTANILHA,12915.7,TO,39503.61,32.69
2008,3,LOBÃO FILHO,16000.0,,40256.17,39.75
2008,3,LÚCIA VÂNIA,18466.48,GO,35507.06,52.01
2008,3,MAGNO MALTA,12538.84,ES,37423.91,33.5
2008,3,MARCELO CRIVELLA,8673.9,RJ,35759.97,24.26
